station,name,latitude,longitude,center
KAUG,AUGUSTA STATE ARPT,44.32,-69.8,KGYX
KAUS,AUSTIN BERGSTROM INTL,30.18304,-97.67987,KEWX
KAUW,WAUSAU,44.92616,-89.62664,KGRB
KAVL,ASHEVILLE_MUNICIPAL_(ASOS),35.43194,-82.5375,KGSP
KAVP,WILKES-BARRE/SCRANT,41.33347,-75.72267,KBGM
KAXN,ALEXANDRIA,45.86631,-95.39467,KMPX
KAZO,KALAMAZOO,42.23472,-85.55194,KGRR
KBAF,WESTFIELD/BARNES,42.15778,-72.71611,KBOX
KBAM,BATTLE MOUNTAIN,40.599,-116.8743,KLKN
KBBD,BRADY,31.1792883,-99.3239267,KSJT
KBBG,BRANSON,36.5320819,-93.2005444,KSGF
KBCB,VIRGINIA TECH ARPT,37.20764,-80.40783,KRNK
KBCE,BRYCE CANYON,37.70639,-112.14556,KSLC
KBDL,HARTFORD/BRADLEY,41.9381,-72.6825,KBOX
KBDN,BEND,44.0945556,-121.2002222,KPDT
KBDR,BRIDGEPORT/SIKORSKY,41.15833,-73.12889,KOKX
KBED,HANSCOM FLD/BEDFORD,42.46995,-71.28903,KBOX
KBFD,BRADFORD REGIONAL,41.80307,-78.64012,KCTP
KBFF,SCOTTSBLUFF,41.87403,-103.59564,KCYS
KBFI,SEATTLE/BOEING FLD,47.53,-122.3,KSEW
KBFL,BAKERSFIELD/MEADOWS,35.4344,-119.0542,KHNX
KBFM,MOBILE DOWNTOWN,30.62678,-88.06808,KMOB
KBGM,BINGHAMTON/BROOME,42.20856,-75.97972,KBGM
KBGR,BANGOR INTL ARPT,44.80744,-68.82814,KCAR
KBHB,BAR HABOR,44.449602,-68.361291,KCAR
KBHM,BIRMINGHAM MUNI,33.56546,-86.74488,KBMX
KBIH,BISHOP AIRPORT,37.37311,-118.36361,KVEF
KBIL,BILLINGS/LOGAN INTL,45.8069,-108.5422,KBYZ
KBIS,BISMARCK,46.77272,-100.74575,KBIS
KBJC,BROOMFIELD/JEFFCO,39.90881,-105.11719,KBOU
KBJI,BEMIDJI,47.50943,-94.93372,KFGF
KBKE,BAKER MUNICIPAL,44.83735,-117.80914,KBOI
KBKW,BECKLEY MEMORIAL,37.78733,-81.12416,KRLX
KBLF,BLUEFIELD/MERCER CO,37.2958,-81.2077,KRNK
KBLH,BLYTHE AIRPORT,33.61917,-114.71689,KPSR
KBLI,BELLINGHAM INTL,48.79269,-122.53753,KSEW
KBMG,BLOOMINGTON,39.1460278,-86.6166944,KIND
KBMI,BLOOMINGTON/NORM,40.47711,-88.91592,KILX
KBNA,NASHVILLE METRO,36.11889,-86.68917,KOHX
KBNO,BURNS MUNI (AMO,43.595,-118.9564,KBOI
KBOI,BOISE MUNICIPAL,43.56667,-116.24056,KBOI
KBOS,BOSTON/LOGAN INTL,42.36057,-71.00973,KBOX
KBPI,BIG PINEY (AMOS),42.58507,-110.11115,KRIW
KBPK,MOUNTAIN HOME/BAXTER COUNTY,36.37,-92.47,KLZK
KBPT,BEAUMONT - PORT ARTHUR,29.95206372,-94.02613689,KLCH
KBRD,BRAINERD,46.40472,-94.13083,KDLH
KBRL,BURLINGTON,40.772929,-91.125494,KDVN
KBRO,BROWNSVILLE INTL,25.91461,-97.42313,KBRO
KBTL,BATTLE CREEK,42.30728,-85.25148,KGRR
KBTM,BUTTE/BERT MOONEY,45.95481,-112.49747,KMSO
KBTR,BATON ROUGE/RYAN,30.53722,-91.14694,KLIX
KBTV,BURLINGTON INTL,44.47,-73.15,KBTV
KBUF,BUFFALO INTL ARPT,42.9408,-78.7358,KBUF
KBUR,BURBANK/GLENDALE,34.20067,-118.35867,KLOX
KBVI,BEAVER FALLS ARPT,40.77247,-80.39144,KPBZ
KBVO,BARTLESVILLE/PHILLI,36.76248,-96.01115,KTSA
KBWG,BOWLING GREEN,36.96453,-86.41967,KLMK
KBWI,BALTIMORE - WASH INTL,39.17331653,-76.68414363,KLWX
KBYI,BURLEY MUNICIPAL,42.5426,-113.77154,KPIH
KBZN,BOZEMAN/GALLATIN,45.78806,-111.16083,KTFX
KCAE,COLUMBIA METRO,33.9419,-81.1181,KCAE
KCAK,AKRON / CANTON,40.9161,-81.4422,KCLE
KCAR,CARIBOU MUNICIPAL,46.87,-68.02,KCAR
KCDC,CEDAR CITY MUNI,37.7,-113.1,KSLC
KCDR,CHADRON,42.83756,-103.09539,KCYS
KCDS,CHILDRESS MUNICIPAL,34.43389,-100.28806,KLUB
KCEC,CRESCENT CITY,41.7837,-124.238,KEKA
KCGI,CAPE GIRARDEAU,37.22532,-89.57075,KPAH
KCHA,CHATTANOOGA/LOVELL,35.03528,-85.20381,KMRX
KCHO,CHARLOTTESVILLE,38.13864,-78.45286,KLWX
KCHS,CHARLESTON,32.8986,-80.0405,KCHS
KCID,CEDAR RAPIDS,41.882899,-91.724588,KDVN
KCIU,CHIPPEWA INTL,46.25,-84.47,KAPX
KCKB,CLARKSBURG/BENEDUM,39.29664,-80.22808,KRLX
KCKV,CLARKSVILLE/OUTLAW,36.62188,-87.41495,KOHX
KCLE,CLEVELAND,41.405,-81.85278,KCLE
KCLL,COLLEGE STATION,30.58806,-96.36389,KHGX
KCLM,PORT ANGELES,48.12197138,-123.50659958,KSEW
KCLT,CHARLOTTE / DOUGLAS,35.22255,-80.95431,KGSP
KCMA,CAMARILLO (AWOS),34.21375,-119.09436,KLOX
KCMH,COLUMBUS,39.99139,-82.88083,KILN
KCMI,CHAMPAIGN - WILLARD,40.0324,-88.2755,KILX
KCMX,HANCOCK,47.16842,-88.48906,KMQT
KCNM,CARLSBAD/CAVERN CTY,32.33747,-104.26328,KMAF
KCNU,CHANUTE,37.67028,-95.48417,KICT
KCNY,MOAB/CANYONLANDS,38.75496,-109.75484,KGJT
KCOD,CODY MUNI (AWOS),44.52019,-109.02381,KRIW
KCOE,COEUR D ALENE(AWOS),47.77431,-116.81958,KOTX
KCON,CONCORD MUNICIPAL,43.19528,-71.50111,KGYX
KCOS,COLORADO SPRINGS,38.80581,-104.70078,KPUB
KCOT,COTULLA MUNICIPAL,28.45667,-99.21833,KCRP
KCOU,COLUMBIA,38.8169,-92.2183,KLSX
KCPR,CASPER/NATRONA INTL,42.908,-106.46442,KRIW
KCPS,CAHOKIA/ST LOUIS,38.57073,-90.15622,KLSX
KCRE,NORTH MYRTLE BEACH,33.81175,-78.72394,KILM
KCRG,JACKSONVILLE/CRAIG,30.3361,-81.5147,KJAX
KCRP,CORPUS CHRISTI INTL,27.77306,-97.51278,KCRP
KCRQ,CARLSBAD/PALOMAR,33.13,-117.28,KSGX
KCRW,CHARLESTON/KANAWHA,38.3794,-81.59,KRLX
KCSG,COLUMBUS METRO ARPT,32.51611,-84.94222,KFFC
KCSM,CLINTON-SHERMAN,35.33984,-99.2005,KOUN
KCSV,CROSSVILLE MEMORIAL,35.95129,-85.08498,KOHX
KCTB,CUT BANK (AWOS),48.60835,-112.37615,KTFX
KCUB,COLUMBIA OWENS DOWNTOWN AIRPORT,33.97199,-80.99377,KCAE
KCVG,CINCINNATI / N KENTUCKY INTL,39.04306,-84.67167,KILN
KCWA,MOSINEE/CENTRAL,44.77762,-89.66678,KGRB
KCXO,CONROE/MONTGOMERY COUNTY AIRPORT,30.35236,-95.41453,KHGX
KCXP,CARSON CITY,39.1923,-119.7326,KREV
KCYS,CHEYENNE/WARREN AFB,41.15564,-104.81047,KCYS
KDAB,DAYTONA BEACH RGNL,29.17992,-81.05806,KMLB
KDAG,BARSTOW-DAGGETT,34.85361,-116.78583,KVEF
KDAL,DALLAS/LOVE FIELD,32.84711,-96.85178,KFWD
KDAN,DANVILLE REGIONAL,36.57286,-79.33611,KRNK
KDAY,DAYTON,39.90611,-84.21861,KILN
KDBQ,DUBUQUE,42.39835,-90.709143,KDVN
KDCA,WASHINGTON/NATIONAL,38.8472,-77.03455,KLWX
KDDC,DODGE CITY,37.76312,-99.96542,KDDC
KDEC,DECATUR,39.83456,-88.86569,KILX
KDEN,DENVER INTNL ARPT,39.8328,-104.6575,KBOU
KDET,DETROIT/CITY AIR,42.40919,-83.00986,KDTX
KDFW,DALLAS/FT WORTH,32.89683,-97.038,KFWD
KDHN,DOTHAN MUNICIPAL,31.32,-85.45,KTAE
KDHT,DALHART MUNICIPAL,36.02259,-102.54728,KAMA
KDIJ,DRIGGS,43.7419306,-111.0978608,KPIH
KDIK,DICKINSON,46.79733,-102.80186,KBIS
KDLH,DULUTH,46.84208,-92.19364,KDLH
KDLS,THE DALLES MUNI,45.61856,-121.16733,KPDT
KDMN,DEMING MUNICIPAL,32.26231,-107.72064,KEPZ
KDNL,AUGUSTA,33.46682095,-82.03847627,KCAE
KDPA,CHICAGO/DUPAGE,41.90778,-88.24861,KLOT
KDRO,DURANGO/LA PLATA CO,37.15152,-107.75377,KGJT
KDRT,DEL RIO INTL (AUT),29.37421,-100.92716,KEWX
KDSM,DES MOINES,41.53395,-93.653114,KDMX
KDTW,DETROIT/WAYNE,42.23,-83.33,KDTX
KDUA,DURANT,33.94227,-96.39453,KOUN
KDUG,DOUGLAS BISBEE INTL,31.46903,-109.60367,KTWC
KDUJ,DU BOIS (AWOS),41.18,-78.9,KPBZ
KDVL,DEVILS_LAKE,48.11458,-98.90833,KFGF
KDVT,DEER VALLEY/PHOENIX,33.68831,-112.08256,KPSR
KEAR,KEARNEY MUNI,40.72703,-99.00678,KGID
KEAT,WENATCHEE/PANGBORN,47.399,-120.207,KOTX
KEAU,EAU CLAIRE,44.8658,-91.48426,KMPX
KECG,ELIZABETH CITY,36.2577,-76.1716,KAKQ
KECP,PANAMA CITY,30.3582,-85.7956,KTAE
KEED,NEEDLES AIRPORT,34.76635,-114.62328,KVEF
KEET,ALABASTER,33.17837717,-86.78178233,KBMX
KEFK,NEWPORT,44.8887972,-72.2291583,KBTV
KEGE,EAGLE CO. REGIONAL,39.64256,-106.91769,KGJT
KEKN,ELKINS/RANDOLPH FLD,38.88528,-79.85278,KRLX
KEKO,ELKO,40.8242,-115.78601,KLKN
KEKS,ENNIS,45.2718,-111.6486,KTFX
KELD,EL DORADO/GOODWIN,33.22097,-92.81328,KSHV
KELM,ELMIRA / CORNING,42.15713124,-76.89935488,KBGM
KELP,EL PASO INTL ARPT,31.81111,-106.37583,KEPZ
KELY,ELY/YELLAND FLD,39.295,-114.84528,KLKN
KENV,WENDOVER (AUT),40.71869,-114.03089,KSLC
KENW,KENOSHA,42.595,-87.93806,KMKX
KERI,ERIE INTL AIRPORT,42.08,-80.18,KCLE
KEUG,EUGENE/MAHLON SWEET,44.12458,-123.21197,KPQR
KEUL,CALDWELL,43.64186,-116.63578,KBOI
KEVV,EVANSVILLE,38.0441,-87.5205,KPAH
KEVW,EVANSTON/BURNS FLD,41.27306,-111.03056,KSLC
KEWN,NEW_BERN/CRAVEN_CO_(ASOS),35.0675,-77.04722,KMHX
KEWR,NEWARK INTL AIRPORT,40.68272,-74.16932,KOKX
KEYW,KEY WEST,24.5561111,-81.7595556,KKEY
KFAR,FARGO,46.92528,-96.81111,KFGF
KFAT,FRESNO AIR TERMINAL,36.78,-119.7194,KHNX
KFAY,FAYETTEVILLE_RGNL_(ASOS),34.99122,-78.88028,KRAH
KFDY,FINDLAY,41.01361,-83.66861,KCLE
KFKL,FRANKLIN(AWOS),41.37787,-79.86036,KPBZ
KFLG,FLAGSTAFF (AMOS),35.14028,-111.67222,KFGZ
KFLL,FORT LAUDERDALE - HOLLYWOOD,26.07871176,-80.16223087,KMFL
KFLO,FLORENCE REGIONAL,34.18536,-79.72389,KILM
KFMH,OTIS ANGB,41.6585,-70.5215,KBOX
KFMN,FARMINGTON REGIONAL,36.74361,-108.22917,KABQ
KFMY,FORT MYERS/PAGE FLD,26.58495,-81.86145,KTBW
KFNT,FLINT,42.96667,-83.74944,KDTX
KFOD,FORT DODGE,42.549741,-94.203203,KDMX
KFOE,TOPEKA (FOE),38.95094,-95.66361,KTOP
KFPR,FT PIERCE/ST LUCIE,27.49806,-80.37667,KMLB
KFSD,SIOUX FALLS,43.57694,-96.75361,KFSD
KFSM,FORT SMITH MUNI,35.33658,-94.36744,KTSA
KFST,FORT STOCKTON,30.91194,-102.91667,KMAF
KFTW,FORT WORTH/MEACHAM,32.81978,-97.36244,KFWD
KFTY,ATLANTA/FULTON CO.,33.78,-84.52,KFFC
KFVE,FRENCHVILLE,47.2855,-68.31272,KCAR
KFWA,FORT WAYNE,40.97805,-85.18713,KIWX
KFXE,FORT LAUDERDALE,26.2,-80.17,KMFL
KFYV,FAYETTEVILLE/DRAKE,36.00509,-94.17006,KTSA
KGBD,GREAT_BEND,38.34425,-98.85919,KICT
KGCC,GILLETTE (AMOS),44.34892,-105.53936,KUNR
KGCK,GARDEN_CITY,37.92753,-100.72442,KDDC
KGCN,GRAND CANYON PARK,35.94611,-112.15472,KFGZ
KGDV,GLENDIVE(AWOS),47.13872,-104.8072,KGGW
KGEG,SPOKANE INTL ARPT,47.6216,-117.528,KOTX
KGFK,GRAND_FORKS,47.94925,-97.17611,KFGF
KGFL,GLEN FALLS/WARREN,43.34122,-73.61031,KALY
KGGG,LONGVIEW/GREGG CO.,32.38401,-94.71149,KSHV
KGGW,GLASGOW INTL ARPT,48.2138,-106.6214,KGGW
KGJT,GRAND JUNCTION,39.13417,-108.54,KGJT
KGKY,ARLINGTON (WAS F54),32.66386,-97.09428,KFWD
KGLD,GOODLAND,39.36722,-101.69333,KGLD
KGLH,GREENVILLE MUNI,33.48288,-90.98561,KJAN
KGLS,GALVESTON/SCHOLES,29.26533,-94.86042,KHGX
KGMU,GREENVILLE DOWNTOWN,34.84611,-82.34611,KGSP
KGNV,GAINESVILLE RGNL,29.6917,-82.27602,KJAX
KGON,GROTON/NEW LONDON,41.33,-72.05,KOKX
KGPI,KALISPELL,48.3042,-114.2636,KMSO
KGPT,GULFPORT-BILOXI,30.40727,-89.0701,KLIX
KGRB,ASHWAUBENON,44.4794,-88.1367,KGRB
KGRI,GRAND ISLAND,40.96754,-98.30964,KGID
KGRR,GRAND RAPIDS,42.88210929,-85.5229853,KGRR
KGSO,GREENSBORO/PIEDMONT_(ASOS),36.0975,-79.94361,KRAH
KGSP,GREENVILLE - SPARTANBURG,34.90613863,-82.21251743,KGSP
KGTF,GREAT FALLS INTL,47.4733,-111.3822,KTFX
KGTR,GOLDEN TRI(AWOS),33.45033,-88.59136,KJAN
KGUC,GUNNISON CO. (AWOS),38.53394,-106.93303,KGJT
KGUP,GALLUP MUNI/CLARKE,35.51106,-108.78931,KABQ
KGUY,GUYMON,36.68167,-101.50528,KAMA
KGWO,GREENWOOD/LEFLORE,33.49433,-90.08471,KJAN
KGYY,GARY REGIONAL,41.61628,-87.41278,KLOT
KHAF,HALF MOON BAY,37.51360071,-122.49958213,KMTR
KHBG,HATTIESBURG MUNI,31.26494,-89.25289,KJAN
KHCR,HEBER CITY,40.47,-111.43,KSLC
KHDC,HAMMOND MUNI AIRPORT,30.52,-90.42,KLIX
KHDN,HAYDEN/YAMPA (AWOS),40.48,-107.22,KGJT
KHEZ,NATCHEZ/HARDY(AWOS),31.61366,-91.29734,KJAN
KHIB,HIBBING,47.38658,-92.83897,KDLH
KHIE,WHITEFIELD,44.36594415,-71.55216794,KGYX
KHIO,PORTLAND/HILLSBORO,45.54061,-122.95019,KPQR
KHKS,JACKSON/HAWKINS FIELD,32.33478,-90.22253,KJAN
KHKY,HICKORY_REGIONAL_(ASOS),35.74115,-81.38955,KGSP
KHLG,WHEELING/OHIO CO.,40.175,-80.64628,KPBZ
KHLN,HELENA REGIONAL,46.6056,-111.9636,KTFX
KHNB,HUNTINGBURG,38.25,-86.95,KLMK
KHND,HENDERSON,35.97286,-115.13444,KVEF
KHOB,HOBBS/LEA CO.,32.68753,-103.21703,KMAF
KHON,HURON,44.38519,-98.22856,KFSD
KHOT,HOT SPRINGS,34.47803,-93.09622,KLZK
KHOU,HOUSTON/WILL HOBBY,29.63747,-95.28245,KHGX
KHPN,WHITE PLAINS,41.06694,-73.7075,KOKX
KHQM,HOQUIAM/BOWERMAN,46.97119,-123.93656,KSEW
KHRF,HAMILTON,46.254631,-114.1246,KMSO
KHRL,HARLINGEN INTL ARPT,26.2285,-97.65439,KBRO
KHRO,HARRISON/BOONE CO.,36.26152,-93.15473,KLZK
KHSV,HUNTSVILLE/MADISON,34.64389,-86.78611,KHUN
KHTS,HUNTINGTON/TRI STAT,38.365,-82.555,KRLX
KHUF,TERRE HAUTE,39.45147,-87.30758,KIND
KHUL,HOULTON INTL ARPT,46.12308,-67.79206,KCAR
KHUM,HOUMA-TERREBONNE,29.5665,-90.66042,KLIX
KHUT,HUTCHINSON,38.0655,-97.86064,KICT
KHVR,HAVRE (AMOS),48.5428,-109.7633,KTFX
KHYA,HYANNIS/POLANDO FLD,41.67,-70.28,KBOX
KHYR,HAYWARD,46.02528,-91.44425,KDLH
KHYS,HAYS_MUNI,38.84222,-99.27317,KDDC
KIAD,WASHINGTON/DULLES,38.93484,-77.44728,KLWX
KIAG,NIAGARA FALLS INTL,43.10733,-78.94619,KBUF
KIAH,HOUSTON INTERCONTINENTAL,29.9844,-95.3607,KHGX
KICT,WICHITA,37.65,-97.43,KICT
KIDA,IDAHO FALLS/FANNING,43.51372,-112.07075,KPIH
KIFP,BULL HEAD CITY,35.15739,-114.55953,KVEF
KILG,WILMINGTON AIRPORT,39.67278,-75.60083,KPHI
KILM,WILMINGTON/NEW_HAN_(ASOS),34.27,-77.9,KILM
KILN,WILMINGTON,39.42028,-83.82167,KILN
KIND,INDIANAPOLIS,39.70841,-86.30482,KIND
KINK,WINK/WINKLER CO.,31.78,-103.2,KMAF
KINL,INTERNATIONAL FALLS,48.55946773,-93.3955519,KDLH
KINT,WINSTON-SALEM/SMITH_(ASOS),36.13372,-80.222,KRAH
KINW,WINSLOW (AUT),35.02192,-110.72253,KFGZ
KIPL,IMPERIAL,32.83422,-115.57874,KPSR
KIPT,WILLIAMSPORT,41.24333,-76.92167,KCTP
KISM,KISSIMMEE MUNI AIRPORT/ORLANDO,28.29,-81.44,KMLB
KISO,KINSTON/STALLINGS,35.33,-77.61,KMHX
KISP,ISLIP/MACARTHUR,40.79389,-73.10167,KOKX
KITH,ITHACA,42.4910278,-76.4584444,KBGM
KIWA,WILLIAMS AFB/CHANDL,33.30783,-111.65547,KPSR
KIWD,IRONWOOD,46.52747,-90.1314,KMQT
KIXD,OLATHE,38.83092,-94.89031,KEAX
KJAC,JACKSON HOLE (AWOS),43.61281,-110.73699,KRIW
KJAN,JACKSON/THOMPSON,32.32,-90.08,KJAN
KJAX,JACKSONVILLE INTL,30.49406,-81.68786,KJAX
KJBR,JONESBORO MUNICIPAL,35.83171,-90.64642,KMEG
KJCT,JUNCTION (AMOS),30.51083,-99.76639,KSJT
KJEF,JEFFERSON CITY,38.59118,-92.15614,KLSX
KJER,JEROME COUNTY AIRPORT,42.72669,-114.45664,KBOI
KJFK,NEW YORK/JF KENNEDY,40.63861,-73.76222,KOKX
KJHW,JAMESTOWN (AWOS),42.15339,-79.25803,KBUF
KJKA,GULF SHORES,30.29046,-87.6717781,KMOB
KJKL,JACKSON/J. CARROLL,37.59139,-83.31444,KJKL
KJLN,JOPLIN,37.1522,-94.4952,KSGF
KJMS,JAMESTOWN,46.93,-98.68,KBIS
KJST,JOHNSTOWN/CAMBRIA,40.31611,-78.83394,KCTP
KJVL,JANESVILLE/ROCK,42.62025,-89.04156,KMKX
KJXN,JACKSON/REYNOLDS,42.25979,-84.4594,KGRR
KJZI,CHARLESTON EXEC,32.7008611,-80.0029167,KCHS
KLAF,LAFAYETTE,40.41476,-86.93333,KIND
KLAL,LAKELAND REGIONAL,27.98892,-82.01856,KTBW
KLAN,LANSING,42.78,-84.58,KGRR
KLAR,LARAMIE/GEN. BREES,41.31206,-105.675,KCYS
KLAS,LAS VEGAS - HARRY REID INTL,36.0719,-115.1634,KVEF
KLAW,LAWTON MUNICIPAL,34.56771,-98.41664,KOUN
KLAX,LOS ANGELES INTL,33.93816,-118.38653,KLOX
KLBB,LUBBOCK INTL ARPT,33.66364,-101.82278,KLUB
KLBE,LATROBE/WESTMORLAND,40.27594,-79.4048,KPBZ
KLBF,NORTH PLATTE,41.12191,-100.66896,KLBF
KLBL,LIBERAL_MUNI,37.04422,-100.95986,KDDC
KLBT,LUMBERTON,34.61,-79.06,KILM
KLBX,ANGLETON/LAKE JACKS,29.10864,-95.46208,KHGX
KLCH,LAKE CHARLES,30.12550085,-93.2277037,KLCH
KLCK,RICKENBACKER ANG,39.81378,-82.92781,KILN
KLEB,LEBANON MUNICIPAL,43.62611,-72.30419,KGYX
KLEE,LEESBURG MUNICIPAL AIRPORT,28.82,-81.81,KMLB
KLEX,LEXINGTON/BLUEGRASS,38.0408,-84.6058,KLMK
KLFK,LUFKIN/ANGELINA CO.,31.23401,-94.75,KSHV
KLFT,LAFAYETTE,30.19859659,-91.98956295,KLCH
KLGA,NEW YORK/LAGUARDIA,40.77945,-73.88028,KOKX
KLGB,LONG BEACH AIRPORT,33.81179,-118.14716,KLOX
KLGU,LOGAN-CACHE AIRPORT,41.79128,-111.85161,KSLC
KLIT,LITTLE ROCK/ADAMS,34.7273,-92.23573,KLZK
KLLQ,MONTICELLO,33.64,-91.75,KLZK
KLMT,KLAMATH FALLS/KINGS,42.14694,-121.72417,KMFR
KLND,LANDER/HUNT FIELD,42.81524,-108.72984,KRIW
KLNK,LINCOLN,40.831178,-96.763275,KOAX
KLNS,LANCASTER,40.12028,-76.29444,KCTP
KLOZ,LONDON-CORBIN ARPT,37.087,-84.077,KJKL
KLRD,LAREDO INTL AIRPORT,27.5438,-99.46153,KCRP
KLRU,LAS CRUCES INTL,32.28942,-106.92197,KEPZ
KLSE,LA CROSSE,43.88,-91.25,KARX
KLUK,CINCINNAT/LUNKEN,39.10333,-84.41861,KILN
KLVK,LIVERMORE,37.6930737,-121.81489621,KMTR
KLVM,LIVINGSTON/MISSION,45.7,-110.45,KBYZ
KLVS,LAS VEGAS MUNICIPAL,35.65422,-105.14239,KABQ
KLWB,LEWISBURG/GREENBRIE,37.85831,-80.39947,KRNK
KLWS,LEWISTON (AMOS),46.3745,-117.01539,KOTX
KLWT,LEWISTOWN MUNICIPAL,47.04925,-109.46669,KTFX
KLYH,LYNCHBURG/P. GLENN,37.3208,-79.2067,KRNK
KMAF,MIDLAND INTL,31.946615,-102.20745194,KMAF
KMBG,MOBRIDGE,45.54639,-100.40778,KABR
KMBL,MANISTEE,44.27247,-86.24689,KAPX
KMBS,SAGINAW,43.53,-84.08,KDTX
KMCB,MCCOMB/LEWIS FIELD,31.18,-90.47,KLIX
KMCC,SACRAMENTO MCCLELLAN,38.667,-121.4006,KSTO
KMCE,MERCED,37.28603042,-120.51792186,KHNX
KMCI,KANSAS CITY/INTL,39.29761,-94.71391,KEAX
KMCK,MCCOOK,40.20628,-100.59208,KGLD
KMCN,MACON/LEWIS WILSON,32.69285,-83.64921,KFFC
KMCO,ORLANDO INTERNATIONAL,28.42939,-81.30899,KMLB
KMCW,MASON CITY,43.154383,-93.326097,KDMX
KMDT,MIDDLETOWN/OLMSTED,40.19361,-76.76333,KCTP
KMDW,CHICAGO,41.78597,-87.75242,KLOT
KMEI,MERIDIAN/KEY FIELD,32.33475,-88.75107,KJAN
KMEM,MEMPHIS INTL ARPT,35.06111,-89.985,KMEG
KMER,MERCED/CASTLE AF,37.38047,-120.56819,KHNX
KMEV,MIDEN - TAHOE,38.9963,-119.75,KREV
KMFD,MANSFIELD,40.82,-82.52,KCLE
KMFE,MCALLEN/MILLER INTL,26.17583,-98.23861,KBRO
KMFR,MEDFORD/JACKSON CO.,42.3811,-122.8722,KMFR
KMGM,MONTGOMERY/DANNELLY,32.30064,-86.39397,KBMX
KMGW,MORGANTOWN/HART FLD,39.64291,-79.91631,KPBZ
KMHK,MANHATTAN,39.13528,-96.67778,KTOP
KMHR,MATHER FIELD,38.55526,-121.29725,KSTO
KMHT,MANCHESTER AIRPARK,42.93281,-71.43575,KGYX
KMIA,MIAMI INTL AIRPORT,25.78805,-80.31693,KMFL
KMIV,MILLVILLE MUNICIPAL,39.36611,-75.07833,KPHI
KMKC,KANSAS CITY/DNTN,39.123,-94.593,KEAX
KMKE,MILWAUKEE,42.94721,-87.89673,KMKX
KMKG,MUSKEGON,43.17111,-86.23667,KGRR
KMKL,JACKSON/MCKELLAR,35.59306,-88.91667,KMEG
KMKT,MANKATO,44.22,-93.92,KMPX
KMLB,MELBOURNE REGIONAL,28.10275,-80.64526,KMLB
KMLC,MC ALESTER REGIONAL,34.88222,-95.78306,KTSA
KMLI,MOLINE,41.44853,-90.50754,KDVN
KMLS,MILES CITY,46.42797,-105.88625,KBYZ
KMLU,MONROE REGIONAL,32.51086,-92.03769,KSHV
KMMH,MAMMOTH/JUNE LAKES,37.62406,-118.83875,KREV
KMOB,MOBILE/BATES FIELD,30.68833,-88.24556,KMOB
KMOD,MODESTO CITY/SHAM,37.62582,-120.95442,KSTO
KMOT,MINOT_INTL,48.25938,-101.28033,KBIS
KMPV,BARRE-MONTPELIER,44.2035,-72.56233,KBTV
